Name,County,Sites,FullstreetAddress,House district,Senate district
Meadow Lane Estates, Gratiot ,128,"401 South Saint Johns Street, Ithaca, MI, 48847",92,34
Woodcrest Mobile Home Park, Gratiot ,34,"953 East Monroe Road, Saint Louis, MI, 48880",92,34
Riley's Mobile Home Court, Hillsdale ,50,"3700 North Hillsdale Road, Hillsdale, MI, 49242",35,16
Hillsdale, Hillsdale ,170,"2856 Carleton Road, Hillsdale, MI, 49242",35,16
Hillside Acres MHC, Hillsdale ,42,"5200 Bankers Road, Reading, MI, 49274",35,17
Somerset Centre Estates, Hillsdale ,310,"12851 East Chicago Road, Somerset Center, MI, 49282",35,16
Southern Belle Mobile Community, Hillsdale ,14,"2722 West Card Road, Hillsdale, MI, 49242",35,16
West Village Mobile Home Park, Hillsdale ,16,"8800 Market Street, Pittsford, MI, 49271",35,16
Saint Joe Mobile Park, Hillsdale ,12,"310 West Saint Joe Street, Litchfield, MI, 49252",35,17
Ramblewood Mobile Home Park, Hillsdale ,30,"4091 State Road, Hillsdale, MI, 49242",35,16
Bayside Estates, Huron ,74,"2420 Pinetree Drive, Sebewaing, MI, 48759",98,25
Clarkston Riverview Mobile Court, Huron ,36,"4599 Pigeon Road, Elkton, MI, 48731",98,25
Huron Estates Mobile Home Village, Huron ,50,"163 Nelson Street, Harbor Beach, MI, 48441",98,25
Misty Meadows, Huron ,27,"1723 South Vandyke, Bad Axe, MI, 48413",98,25
Port Austin Estates, Huron ,36,"M 25 & Larned Road Box 250, Port Austin, MI, 48467",98,25
Summerwood Estates, Huron ,80,"162 Charlotte Street, Bad Axe, MI, 48413",98,25
Clarkson Pines Mobile Home Village, Huron ,,"865 South Vandyke Road, Bad Axe, MI, 48413",98,25
Mel-O-Day Acres Mobile Home Park, Huron ,40,"3193 Port Austin Road, Port Austin, MI, 48467",98,25
Whalen's Grindstone Park, Huron ,34,"3373 Pointe Aux Barques, Port Austin, MI, 48467",98,25
Sand Point Corners, Huron ,,"7910 Port Austin Road, Pigeon, MI, 48755",98,25
Caseville County Park, Huron ,,"6400 Main Street, Caseville, MI, 48725",98,25
Caseville Resort and Marina, Huron ,,"6450 Riverside Dr, Caseville, MI, 48725",98,25
Charlie's Place, Huron ,,"11860 Kilmanagh Road, Sebewaing, MI, 48759",98,25
Farmers Mobile Park, Huron ,,"6351 Main Street, Caseville, MI, 48725",98,25
Oak Grove, Huron ,,"3341 Port Austin Road, Port Austin, MI, 48467",98,25
Hamlin, Ingham ,209,"5325 Van Orden Road, Webberville, MI, 48892",73,22
Mason Manor, Ingham ,269,"2179 Hull Road, Mason, MI, 48854",73,21
Oak Island Village, Ingham ,250,"16430  Park Lake Road, East Lansing, MI, 48823",75,28
Leslie Estates, Ingham ,78,"714 Mill Street, Leslie, MI, 49251",73,21
Sycamore Village, Ingham ,396,"900 West Columbia Road, Mason, MI, 48854",73,21
Dutch Hills, Ingham ,278,"16400 Upton Road, East Lansing, MI, 48823",75,28
Village Square , Ingham ,100,"875 West Grand River Avenue, Williamston, MI, 48895",73,28
Delhi Manor, Ingham ,286,"4075 East Holt Road, Holt, MI, 48842",74,21
Valley Brook Mobile Home Estates, Ingham ,51,"1560 North Eifert Road, Holt, MI, 48842",73,21
Falcon Pointe, Ingham ,244,"555 Quarterhorse Road, East Lansing, MI, 48823",75,28
"Webbervilla, LLC", Ingham ,174,"400 West Grand River Avenue, Webberville, MI, 48892",73,22
Williamston Lakes, Ingham ,71,"2300 East Grand River, Williamston, MI, 48895",73,28
Windmill Park, Ingham ,484,"1433 Eifert Road, Holt, MI, 48842",74,21
Willow Village Mobile Home Park, Ingham ,45,"2445 East Grand River, Williamston, MI, 48895",73,28
Knolls Of Hamlin, Ingham ,23,"5247 Van Orden, Webberville, MI, 48892",73,22
Sunset Mobile Home Park, Sanilac ,105,"854 West Sanilac Road, Sandusky, MI, 48471",98,25
Country Manor Mobile Home Park, Ingham ,39,"4400 Edgar Road, Leslie, MI, 49251",73,21
Winslow's Mobile Home Terrace, Ingham ,72,"734 West Grand River Avenue, Okemos, MI, 48864",75,28
Sherwood Forest Manufactured Home Community, Ionia ,240,"1133 Yeomans Street, Ionia, MI, 48846",78,33
Sunset Ridge, Ionia ,190,"7204 East Grand River Avenue, Portland, MI, 48875",78,33
Canterbury Estates, Ionia ,290,"360 East Tuttle, Ionia, MI, 48846",78,33
Pine Haven Estates, Ionia ,50,"10400 Pewamo Road, Pewamo, MI, 48873",93,33
Wellington Estates, Wayne ,410,"16031 Beech Daly Road, Taylor, MI, 48180",28,4
Cedar Hill Trailer Park, Ionia ,13,"11211 East Nickleplate Road, Pewamo, MI, 48873",93,33
Evergreen Mobile Home Community, Ionia ,110,"2096 North State Road, Ionia, MI, 48846",78,33
Parkview Estates, Ionia ,75,"9203 Nelson Road, Portland, MI, 48875",78,33
Woodcreek Mobile Estates, Ionia ,30,"6600 North State Road, Orleans, MI, 48865",78,33
Glenview Mobile Home Park, Ionia ,13,"4090 Jackson Road, Saranac, MI, 48881",78,18
Grieves Trailer Park, Ionia ,5,"178 Washington Street, Saranac, MI, 48881",78,18
Long Lake Mobile Home Estates, Ionia ,25,"2701 West Long Lake Road, Orleans, MI, 48865",91,33
Pine View Trailer Park, Ionia ,20,"6385 Whites Bride Road, Belding, MI, 48809",91,33
Hidden Valley Mobile Home Park, Ionia ,50,"3856 South Stage Road, Ionia, MI, 48846",78,33
West Wind Court, Ionia ,11,"5448 West Grand River Ave, Portland, MI, 48875",78,33
Carl Chase, Ionia ,,"2020 Johnson Road, Saranac, MI, 48881",78,33
Schmid Farm Estates, Ionia ,14,"5590 N State Road, Orleans, MI, 48865",91,33
Sunset View Mobile Home Park, Ionia ,35,"926 Hill Street, Portland, MI, 48875",78,33
Slater's Mobile Home Village, Ionia ,,"728 Jordan Lake Avenue, Lake Odessa, MI, 48849",78,18
Northern Pines, Oscoda ,30,"6720 South Drive, Hale, MI, 48739",99,36
White Pine Ridge, Oscoda ,,"6721 South Drive, Hale, MI, 48739",99,36
The Crossings On Broadway, Isabella ,225,"5402 East Broadway Road, Mount Pleasant, MI, 48858",92,34
Summerhill Village, Isabella ,305,"5280 Mission Road, Mount Pleasant, MI, 48858",92,34
Oakview Mobile Estates, Isabella ,46,"1800 East Jordan Road, Mount Pleasant, MI, 48858",92,34
Broadway Acres, Isabella ,71,"5400 Kay Street, Mount Pleasant, MI, 48858",92,34
Country Place Park, Isabella ,66,"4151 East Jordan Road, Mount Pleasant, MI, 48858",92,34
Isabella Village, Isabella ,170,"5232 East Broadway Road, Mount Pleasant, MI, 48858",92,34
Maple View Estates East, Isabella ,136,"1955 S. Chippewa Road, Mount Pleasant, MI, 48858",92,34
Mount Pleasant Mobile Home Park, Isabella ,120,"505 South Bradley Rd., Mount Pleasant, MI, 48858",92,34
Broomfield Valley Mobile Home Park, Isabella ,85,"6553 West Remus Road, Mount Pleasant, MI, 48858",92,34
Alexander's Mobile Village, Isabella ,20,"8649 South Loomis Road, Shepherd, MI, 48883",92,34
Maple View Estates West, Isabella ,37,"10749 East Pickard, Mount Pleasant, MI, 48858",92,34
Westwind Mobile Home Park, Isabella ,,"3640 East Rosebush Road, Rosebush, MI, 48878",92,34
Sherman Oaks, Jackson ,366,"1144 Sherman Blvd., Jackson, MI, 49201",45,14
Windham Hills, Jackson ,420,"4020 County Farm Road, Jackson, MI, 49201",46,14
Hillanlake Village Mobile Home Park, Jackson ,151,"3998 Sunset Drive, Brooklyn, MI, 49230",47,14
Coachman's Cove, Jackson ,246,"6600 Portage Lake Road, Munith, MI, 49259",48,14
Cozy Manufactured Home Community, Jackson ,206,"1259 East Mcdevitt Road, Jackson, MI, 49203",47,14
Spring Valley Estates, Jackson ,94,"121 Split Rail Trail, Hanover, MI, 49241",45,14
Three Oaks Estates, Jackson ,44,"13380 Michigan 60, Concord, MI, 49237",45,17
Spring Harbor, Jackson ,81,"271 Green St., Springport, MI, 49284",45,17
Sun Valley Estates, Jackson ,184,"301 Mantle Avenue, Jackson, MI, 49202",46,14
The Reserves, Jackson ,304,"3999 Sherwood Lakes Boulevard, Jackson, MI, 49201",46,14
Arbor Village, Jackson ,266,"7940 South Circle Drive, Parma, MI, 49269",45,14
Indian Village, Jackson ,294,"2600 East South Street, Jackson, MI, 49201",46,14
Jackson Mobile Home Park, Jackson ,80,"2240 Brooklyn Road, Jackson, MI, 49203",47,14
Michigan Avenue Estates, Jackson ,39,"3921 West Michigan Avenue, Jackson, MI, 49202",46,14
Pleasant Lake Mobile Home Court, Jackson ,57,"11711 Bunkerhill Road, Pleasant Lake, MI, 49272",45,14
Shady Park Mobile Home Court, Jackson ,23,"4000 East South Street, Jackson, MI, 49201",47,14
Walnut Ridge, Jackson ,299,"3001 West Parnall Road, Jackson, MI, 49201",46,14
Sherwood Forest, Jackson ,200,"7945 Dunn Road, Munith, MI, 49259",46,14
Miller Trailer Village, Jackson ,55,"3500 South Dearing Road, Spring Arbor, MI, 49283",45,14
Vinings Trailer Park, Jackson ,199,"105 Portage Lake Road, Munith, MI, 49259",48,14
Andry's On The Lake, Jackson ,160,"7740 Mount Hope Road, Grass Lake, MI, 49240",48,14
Wyngate Farms, Kalamazoo ,333,"5560 Al Sabo Drive, Kalamazoo, MI, 49009",40,19
Colonial Manor, Kalamazoo ,195,"5500 West Kl Avenue, Kalamazoo, MI, 49009",40,19
Saddlebrook Farms, Kalamazoo ,147,"5053 S. Fourth, Kalamazoo, MI, 49009",40,19
Hillcrest Acres, Kalamazoo ,150,"3205 Douglas Ave., Kalamazoo, MI, 49004",41,19
Weatherstone Village Community, Kalamazoo ,93,"5210 Marsh Arbor Trail, Kalamazoo, MI, 49004",42,19
Colonial Acres, Kalamazoo ,612,"5374 E. Deadwood Drive, Portage, MI, 49002",41,19
Royal Estates, Kalamazoo ,183,"8300 Ravine Road, Kalamazoo, MI, 49009",42,19
Fountain Springs, Kalamazoo ,327,"1410 South 9th Street, Kalamazoo, MI, 49009",40,19
Pavilion Estates MHC, Kalamazoo ,531,"6830 E N Avenue, Kalamazoo, MI, 49048",42,19
Huntington Run, Kalamazoo ,175,"6255 Cranbrook Lane, Kalamazoo, MI, 49009",40,19
Saddlebrook Village, Kalamazoo ,142,"503 South Fourth, Kalamazoo, MI, 49009",40,19
Twinleaf, Kalamazoo ,185,"3614 Stadium Drive, Kalamazoo, MI, 49008",41,19
Americana Estates, Kalamazoo ,161,"1802 Tray Lane, Kalamazoo, MI, 49006",41,19
Sugarloaf Mobile Home Park, Kalamazoo ,57,"11443 Bonnie Dr, Schoolcraft, MI, 49087",42,19
Evergreen Park, Kalamazoo ,76,"182 East D Avenue, Kalamazoo, MI, 49009",42,19
Richland MHC, Kalamazoo ,45,"9604 East M-89, Richland, MI, 49083",42,19
Climax MHP, Kalamazoo ,75,"14253 East On Avenue, Climax, MI, 49034",45,18
Country Acres, Wexford ,200,"300 Kristy Jo, Cadillac, MI, 49601",101,36
Gale Valley Estates, Kalamazoo ,226,"353 East Michigan Avenue, Galesburg, MI, 49053",42,19
Oak Brook Estates, Kalamazoo ,134,"7200 Lovers Lane, Portage, MI, 49002",40,19
Portage Terrace Mobile Home Park, Kalamazoo ,81,"11247 Portage Road, Portage, MI, 49002",42,19
Mobile Home Estates, Kalkaska ,50,"2012 East Estate Road, Kalkaska, MI, 49646",104,36
Country Meadows Village, Kent ,307,"5401 76th SE, Caledonia, MI, 49316",79,18
Leonard Gardens, Kent ,319,"4524 Leonard NW, Grand Rapids, MI, 49534",84,30
Pinebrook Village, Kent ,185,"444 Bellewood Street SE, Grand Rapids, MI, 49548",80,29
Alpine Meadows, Kent ,403,"3800 Fruitridge Avenue NW, Grand Rapids, MI, 49544",90,30
"Key Vista, MHC", Kent ,137,"1800 West Main Street, Lowell, MI, 49331",78,18
Byron Center, Kent ,143,"2680 84th Street, Byron Center, MI, 49315",79,20
Camelot Manor, Kent ,335,"170 Camelot Blvd, Grand Rapids, MI, 49548",83,20
Cedar Springs Mobile Estates, Kent ,216,"400 Susan, Cedar Springs, MI, 49319",91,33
Holiday Estates, Wayne ,551,"46000 Geddes Road Lot 416, Canton, MI, 48188",25,5
Key Heights Village, Kent ,286,"11335 East Fulton Street, Lowell, MI, 49331",78,18
Cutler Estates, Kent ,259,"6471 South Division, Grand Rapids, MI, 49548",80,29
Grand Village, Kent ,230,"6500 South Division Avenue, Grand Rapids, MI, 49548",79,20
Dutton Mill Village, Kent ,307,"6720 West Mill Run SE, Caledonia, MI, 49316",79,20
Algoma Estates, Montcalm ,343,"4456 13 Mile Road, Rockford, MI, 49341",90,33
Brookside Village, Kent ,196,"3130 Slater Ave SE, Kentwood, MI, 49512",80,29
Ferrand Estates, Kent ,420,"4528 Halifax SW, Wyoming, MI, 49519",83,29
Brentwood Village, Kent ,195,"201 60th Street SE, Kentwood, MI, 49548",80,29
Riverview Manufactured Housing Community, Kent ,154,"95 Viking Drive, Sparta, MI, 49345",90,33
Southwood Village, Kent ,394,"440 60th Street SE, Grand Rapids, MI, 49548",79,20
The Oaks of Rockford, Montcalm ,262,"11640 Townsquare Blvd, Rockford, MI, 49341",90,33
Creekside, Kent ,165,"5100 Clyde Park Avenue SW, Wyoming, MI, 49509",83,29
Lakeside Village, Montcalm ,67,"12205 Hart Street, Greenville, MI, 48838",91,33
Spring Valley Mobile Home Park, Montcalm ,52,"6460 Northland Drive, Rockford, MI, 49341",90,30
Whispering Pines, Van Buren ,104,"67663 County Road 388, South Haven, MI, 49090",39,20
Lincoln Pines Resort Inc, Montcalm ,156,"13033 19 Mile Road, Gowen, MI, 49326",91,33
Side-O-Lake Resort Park, Montcalm ,45,"15301 Lakeshore Drive, Gowen, MI, 49326",91,33
La-E-Ma Land Mobile Home Park, Montcalm ,29,"7825 Cannonsburg Road, Rockford, MI, 49341",90,33
Pine Lakes Mobile Home Park, Lapeer ,163,"110 Pine Lakes Drive, Lapeer, MI, 48446",67,26
Ideal Villa Mobile Home Park, Lapeer ,168,"3660 South Lapeer Road, Metamora, MI, 48455",67,24
Hunters Creek, Lapeer ,402,"725 Demille Road, Lapeer, MI, 48446",67,26
River Ridge, Washtenaw ,288,"289 Dundee, Saline, MI, 48176",33,15
Crestview Manor, Lapeer ,200,"1485 Ridgeview Drive, Lapeer, MI, 48446",67,26
Deerfield Pines, Lapeer ,122,"82 Deerfield Pines Drive, North Branch, MI, 48461",67,26
Kingsbrook Estates, Lapeer ,233,"4600 N. Van Dyke Road, Almont, MI, 48003",65,24
Lapeer Meadows, Lapeer ,228,"1265 Farnsworth Road, Lapeer, MI, 48446",67,26
North Branch Meadows, Lapeer ,127,"6800 Lydia Boulevard, North Branch, MI, 48461",98,26
Sand Hill Estates, Lapeer ,50,"4063 Bowers Road, Attica, MI, 48412",65,26
Victoria Meadows, Lapeer ,130,"3750 Nash Lane, Dryden, MI, 48428",65,24
Garner Drive Mobile Home Park, Lapeer ,18,"Garner Drive, Imlay City, MI, 48444",65,26
Sterling Estates, Macomb ,760,"43475 La Grand Boulevard, Sterling Heights, MI, 48314",57,9
Maple Woods, Lenawee ,285,"1550 West Beecher Road, Adrian, MI, 49221",34,16
Hidden River North, Lenawee ,211,"975 Beecher Road, Adrian, MI, 49221",34,16
Round Lake Estates, Lenawee ,109,"787 Stoneham, Manitou Beach, MI, 49253",34,16
Newburg Meadows, Lenawee ,135,"9115 North Union Street, Tecumseh, MI, 49286",34,15
Bean Creek Resort, Lenawee ,72,"9575 Devils Lake Highway, Manitou Beach, MI, 49253",34,16
Hidden River South, Lenawee ,202,"3251 South Adrian Highway, Adrian, MI, 49221",34,16
Coach Light Estates, Lenawee ,230,"650 West Adrian Street, Blissfield, MI, 49228",34,16
Country Villa, Lenawee ,73,"12919 Tipton Highway, Clinton, MI, 49236",34,16
Friendly Village Of Adrian, Lenawee ,179,"1100 South Main Street, Adrian, MI, 49221",34,16
Leffingwell Estates, Lenawee ,70,"595 South Meridian Road, Hudson, MI, 49247",34,16
Water Wheel Community, Lenawee ,172,"316 West Michigan Avenue, Clinton, MI, 49236",33,15
Raisin Valley Estates, Lenawee ,27,"4897 N. Adrian Hwy, Adrian, MI, 49221",34,16
Water's Edge, Lenawee ,48,"Devils Lake Highway, Manitou Beach, MI, 49253",34,16
Clinton Estates, Lenawee ,30,"1801 West Michigan Avenue, Clinton, MI, 49236",34,15
King Mobile Home Court, Lenawee ,123,"1142 Lansing Street, Adrian, MI, 49221",34,16
Southgate Mobile Park, Lenawee ,48,"2425 East Us Highway 223, Adrian, MI, 49221",34,16
Adrian Estates, Lenawee ,26,"1003 Lansing Street, Adrian, MI, 49221",34,16
Lee Villa Mobile Home Park, Lenawee ,113,"2985 Gady Road, Adrian, MI, 49221",34,16
Robinhood Mobile Court, Lenawee ,25,"3180 North Adrian, Adrian, MI, 49221",34,16
Silver Lawn Mobile Park, Lenawee ,,"10891 Cement City Highway, Addison, MI, 49220",34,16
Sylvan Glen Estates, Livingston ,476,"6600 Grand River, Brighton, MI, 48114",48,22
Brighton Village, Livingston ,195,"7500 Grand River Rd., Brighton, MI, 48114",48,22
Hartland Meadows, Livingston ,617,"13634 W Highland Rd, Hartland, MI, 48353",50,22
Burkhart Ridge, Livingston ,306,"1011 River Line Drive, Howell, MI, 48843",50,22
Howell Estates, Livingston ,455,"515 Mason Road, Howell, MI, 48843",50,22
Cedar River Estates, Livingston ,118,"400 Cedar River Drive, Fowlerville, MI, 48836",50,22
Alan's Park, Shiawassee ,32,"11785 Lansing Road, Durand, MI, 48429",71,28
Grandshire Estates, Livingston ,151,"851 Willow Street, Fowlerville, MI, 48836",50,22
Lake Chemung Outdoor Resort, Livingston ,335,"320 South Hughes Road, Howell, MI, 48843",48,22
Woodland Park & Sales, Livingston ,65,"8005 West Grand River Avenue, Brighton, MI, 48114",49,22
Fairlawn Meadows, Livingston ,48,"1701 Fairlawn Road, Howell, MI, 48843",50,22
Fairlane Estates Mobile Home Park, Livingston ,60,"2195 East Grand River, Howell, MI, 48843",50,22
Starlight Trailer Court, Livingston ,48,"7175 Bishop Road, Brighton, MI, 48116",49,22
Brighton Trailer Court, Livingston ,9,"614 Flint Road, Brighton, MI, 48116",49,22
Red Oaks Of Chemung, Livingston ,,"102 East Grand River Avenue, Howell, MI, 48843",50,22
Waldon Woods Family Recreation Resort, Livingston ,,"2975 North Old Us 23, Howell, MI, 48855",50,22
River's Edge, Macomb ,1000,"38000 Le Chateau Blvd, Clinton Township, MI, 48038",61,11
Shelby Forest, Macomb ,664,"13955 Bronte Drive, Shelby Township, MI, 48315",59,24
Shelby West, Macomb ,644,"12277 Conservation Trail, Shelby Township, MI, 48315",59,24
Lafayette Place, Macomb ,254,"21155 Warner, Warren, MI, 48091",14,3
East Village Estates, Macomb ,708,"57400 Bedford Blvd., Washington, MI, 48094",66,24
Springbrook Estates, Macomb ,398,"71400 Van Dyke Road, Romeo, MI, 48065",66,24
Rudgate Manor, Macomb ,931,"5150 Rudgate Boulevard, Sterling Heights, MI, 48310",57,9
Carriage Way, Saint Clair ,798,"29800 Guilford Circle, Chesterfield, MI, 48051",63,12
Silver Springs, Saint Clair ,547,"43600 Park Drive West, Clinton Township, MI, 48036",61,12
Rudgate Clinton, Macomb ,667,"20475 Foster Drive, Clinton Township, MI, 48036",61,11
Pine Crest Estates, Saint Clair ,214,"30086 Pineview Circle, Chesterfield, MI, 48051",63,12
Dequindre Estates, Macomb ,303,"2017 Shirewood Dr., Shelby Township, MI, 48317",59,24
Westbridge Manor, Saint Clair ,1446,"45301 Chateau Thierry Blvd., Macomb, MI, 48044",60,11
Glennwood Village, Macomb ,147,"2526 Morrissey Road, Warren, MI, 48091",14,3
Millstone Pond, Saint Clair ,263,"37781 Sandstone Trail, Lenox, MI, 48048",65,25
Fairchild Lake, Saint Clair ,300,"49645 Au Lac Road, Chesterfield, MI, 48051",63,12
Willow Point, Saint Clair ,284,"43400 Lenfesty Drive, Harrison Township, MI, 48045",62,12
Westbrook, Saint Clair ,,"45013 Catalpa Blvd., Macomb, MI, 48044",60,11
Leslie's Mobile Home Village, Macomb ,166,"25214 Gratiot Avenue, Roseville, MI, 48066",12,11
Riverbrook, Saint Clair ,390,"59477 Hardy Lane, New Haven, MI, 48048",65,25
Parkway Village LLC, Saint Clair ,242,"23500 South Keystone Way, Clinton Township, MI, 48036",61,12
Richmond Place, Saint Clair ,117,"36401 Division Road, Richmond, MI, 48062",65,25
River Haven Estates, Mason ,65,"24 Caberfae Highway, Manistee, MI, 49660",102,32
East Lake Estates, Mason ,197,"829 Oregon Avenue, Manistee, MI, 49660",102,32
The Bluffs on Manistee Lake, Mason ,100,"956 Tennessee Avenue, Manistee, MI, 49660",102,32
Forest Pines Manistee, Mason ,75,"1525 West County Line Road, Manistee, MI, 49660",102,32
Tamarac Village, Mason ,293,"2875 North Lakeshore Drive, Ludington, MI, 49431",102,32
Ludington Mobile Home Park, Mason ,68,"5040 Rasmussen Road, Ludington, MI, 49431",102,32
Hidden Forest, Mason ,116,"3626 West Hidden Forest Drive, Ludington, MI, 49431",102,32
Holiday Village Of Scottville, Mason ,150,"1701 West Us Highway 10-31, Scottville, MI, 49454",102,32
Heritage Hills Mobile Home Estates, Mason ,30,"3677 South Pere Marquette, Ludington, MI, 49431",102,32
Laman's Landing Resort, Mason ,32,"6100 North Beaune Road, Ludington, MI, 49431",102,32
Lakewood Mobile Home Park, Oceana ,40,"408 East Sands Street, Pentwater, MI, 49449",102,32
Big Rapids Mobile Home Court, Mecosta ,135,"606 Bjornson Street, Big Rapids, MI, 49307",100,34
Country Manor Estates, Mecosta ,78,"18500 Northland Drive, Big Rapids, MI, 49307",100,34
Holiday Terrace Mobile Home Park, Mecosta ,71,"10845 Percy Lane, Mecosta, MI, 49332",100,34
Parks Place Estates, Mecosta ,29,"14065 30th Avenue, Remus, MI, 49340",100,34
Sunset Shores, Mecosta ,80,"10406 Pierce Rd., Stanwood, MI, 49346",100,34
Haven View Mobile Home Court, Mecosta ,80,"18505 Northland Drive, Big Rapids, MI, 49307",100,34
College Park Mobile Village, Mecosta ,100,"1111 Catherine Street, Big Rapids, MI, 49307",100,34
Country Mobile Home Court, Osceola ,20,"6420 East 13 Mile Road, Paris, MI, 49338",101,33
Circle Drive Mobile Home Park, Mecosta ,50,"12380 185th Avenue, Big Rapids, MI, 49307",100,34
Hunter's Creek, Mecosta ,50,"11334 120th Avenue, Rodney, MI, 49342",100,34
Forest Hills Park, Mecosta ,,"14400 Northland Drive, Big Rapids, MI, 49307",100,34
Round Lake Resort Mobile Home Park, Mecosta ,8,"11133 Eleven Mile Road, Mecosta, MI, 49332",100,34
Buck's Mobile Home Park, Mecosta ,,"21965 8 Mile Road, Stanwood, MI, 49346",100,34
Lackie's Birch Haven Subdivision, Osceola ,,"Airstrip Road, Barryton, MI, 49305",100,34
Roger Heights Mobile Home Park, Mecosta ,,"11299 Riverside Drive, Stanwood, MI, 49346",100,34
Bayside Mobile Estates, Menominee ,97,"3400 - 10th Street, Menominee, MI, 49858",108,38
Cedar Ridge Mobile Home Park, Menominee ,75,"5000 13th Street, Menominee, MI, 49858",108,38
Science City, Midland ,171,"3823 Bay City Road, Midland, MI, 48642",95,35
Alpine Village, Midland ,283,"3601 Alpine Drive, Midland, MI, 48642",95,35
Old Oak Trails Estates, Midland ,203,"1661 North Old Oak Trail, Sanford, MI, 48657",95,35
Arlington Manor, Midland ,100,"222 Rockwell Dr, Midland, MI, 48642",95,35
Coleman Mobile Home Park, Midland ,58,"330 South 3rd Street, Coleman, MI, 48618",95,34
Oakside Mobile Home Park, Midland ,142,"2752 West North Union Road, Midland, MI, 48642",97,35
Stolkholm Forest Village, Midland ,121,"800 West Mier Road, Sanford, MI, 48657",95,34
Victoria Woods, Midland ,52,"2574 West Midland Road, Midland, MI, 48642",97,35
Maple Grove Village, Midland ,140,"400 Kuipers Drive, Midland, MI, 48642",95,35
Countryside Manor, Midland ,63,"47 North Meridian Road, Midland, MI, 48640",95,34
Rumbaugh Estates, Midland ,59,"1404 Rumbaugh, Midland, MI, 48642",95,35
Lakeview Trailer Park, Midland ,18,"320 Cedar Street, Sanford, MI, 48657",95,34
"Evergreen Whispering Pines MHP, LLC", Midland ,105,"227 W. Olson Road, Midland, MI, 48640",95,34
Woodview Mobile Home Park, Midland ,,"257 West Olson Road, Midland, MI, 48640",95,34
Pine Court, Osceola ,15,"5340 West Stoney Corners Road, Mc Bain, MI, 49657",105,36
Sandy Oaks Resort, Roscommon ,227,"2757 Owens Dr, Houghton Lake, MI, 48629",105,36
Cadillac Leisure Mobile Home Park, Wexford ,98,"1101-1151 6th Stt, Cadillac, MI, 49601",101,36
Whispering Oaks Mobile Home Park, Roscommon ,26,"3517 West Houghton Lake Drive, Houghton Lake, MI, 48629",105,36
Mounds Mobile Home Park, Roscommon ,,"130 Mounds Trail, Houghton Lake, MI, 48629",105,36
North Shore Trailer Park, Roscommon ,,"8687 East Houghton Lake Road, Houghton Lake, MI, 48629",105,36
Poplar's Resort, Roscommon ,,"10360 West Shore Dr, Houghton Lake, MI, 48629",105,36
Frenchtown Villa / Elizabeth Woods, Monroe ,1149,"1250 Paree, Newport, MI, 48166",28,16
Meadowbrook Estates, Monroe ,453,"1250 Strandwyck, Monroe, MI, 48161",30,16
Kimberly Estates, Monroe ,387,"7769 Kimberly Dr, Newport, MI, 48166",29,16
Newport Farms, Monroe ,513,"9059 W. Timberview Dr., Newport, MI, 48166",28,16
Raisin Ridge, Monroe ,404,"801 Franklin Blvd, Monroe, MI, 48161",31,16
Inverness Mobile Home Community, Monroe ,518,"6230 Lewis Avenue, Temperance, MI, 48182",30,16
Oakridge Estates, Monroe ,621,"75 Briarwood Trail, Monroe, MI, 48161",30,16
Pleasantville MHC, Monroe ,152,"1045 Nadeau Road, Monroe, MI, 48162",28,16
Country Heritage, Monroe ,213,"771 Mary Jean Court, Dundee, MI, 48131",31,16
The Orchards, Monroe ,630,"3600 Townsquare Boulevard, Carleton, MI, 48117",29,16
Carleton Mobile Home Park, Monroe ,228,"12500 Jones Rd., Carleton, MI, 48117",29,16
Dundee Meadows, Monroe ,80,"202 Emerald Circle, Dundee, MI, 48131",31,16
Elizabeth Woods, Monroe ,620,"1250 Paree, Newport, MI, 48166",28,16
Flat Rock Village, Monroe ,332,"11150 Telegraph Road, Carleton, MI, 48117",29,16
Hidden Creek, Monroe ,351,"6400 South Dixie Highway, Erie, MI, 48133",30,16
Mill Race Shores Manufactured Housing Community, Monroe ,97,"563 Allen Road, Milan, MI, 48160",31,15
Northtowne Meadows, Monroe ,386,"6255 Telegraph Road, Erie, MI, 48133",30,16
Willow Green, Monroe ,429,"2033 North Outer Drive, Monroe, MI, 48161",30,16
Yorkshire Manor, Monroe ,280,"1205 York Blvd., Carleton, MI, 48117",29,16
Shamrock Mobile Home Park, Monroe ,54,"1811 North Telegraph Road, Monroe, MI, 48162",29,16
Sunny South Villa, Monroe ,68,"15377 South Telegraph, Monroe, MI, 48161",30,16
Huron River Mobile Home Park, Monroe ,89,"8025 South Huron River Road, South Rockwood, MI, 48179",28,16
Village Trails, Montcalm ,100,"518 Hickory Ln., Howard City, MI, 49329",91,33
Brookside Mobile Home Sites, Montcalm ,14,"7875 Garlock Road, Carson City, MI, 48811",93,33
Creekview Mobile Home Park, Montcalm ,84,"400 North Walnut, Greenville, MI, 48838",91,33
Edmore Estates, Montcalm ,18,"525 West Gilson Street, Edmore, MI, 48829",91,33
Stanton Mobile Home Community, Montcalm ,50,"101 Rachael, Stanton, MI, 48888",91,33
Stoney Lake Mobile Home Park, Montcalm ,14,"2650 Stoney Lake Blvd., Stanton, MI, 48888",91,33
Tamarack Pines Estates, Montcalm ,80,"9555 Maple Hill Road, Howard City, MI, 49329",91,33
