Name,County,Sites,FullstreetAddress,House district,Senate district
"Burke Silver Lake View, LLC", Leelanau ,49,"5099 Silver Lake View Road, Traverse City, MI, 49684",103,37
Dorsey's on Glen Lake, Leelanau ,54,"8648 South Dorsey Park Road, Empire, MI, 49630",103,37
First Point Mobile Home Court, Leelanau ,53,"7903 Birchpoint Drive, Traverse City, MI, 49684",103,37
Silver Shores Manufactured Home Community, Wexford ,200,"1257 Overlook Drive, Traverse City, MI, 49685",104,37
Buena Vista Estates, Wexford ,68,"17426 Honor Highway, Interlochen, MI, 49643",104,32
Kampvilla RV Park, Manistee ,40,"16632 Pleasanton Highway, Bear Lake, MI, 49614",104,32
Pat's Place, Wexford ,20,"2951 North 7 Road, Mesick, MI, 49668",101,36
White Pines Mobile Home Park, Wexford ,33,"Paul Drive, Mesick, MI, 49668",101,36
R & R Chervenka, Leelanau ,,"9640 Crain Hill Road, Traverse City, MI, 49684",103,37
Warren Dunes Village, Berrien ,314,"11159 Red Arrow Highway, Bridgman, MI, 49106",38,17
Pleasant View Estates, Van Buren ,209,"7604 Red Arrow Highway, Watervliet, MI, 49098",39,20
Silverbrook, Berrien ,176,"1000 West Wildflower, Niles, MI, 49120",37,17
North Shore Estates, Berrien ,97,"1565 M 63 North, Benton Harbor, MI, 49022",38,20
Hills Haven, Berrien ,94,"4205 Hills Haven Rd., Buchanan, MI, 49107",37,17
Lakewood Estates, Ionia ,89,"1615 Tupperlake Street, Lake Odessa, MI, 48849",78,18
Sand Hill Community, Berrien ,80,"5080 Saint Joseph Avenue, Stevensville, MI, 49127",38,20
Riverside Estates, Berrien ,87,"14566 North Red Bud Trail, Buchanan, MI, 49107",37,17
Birchcrest Estates, Berrien ,110,"2330 East Main Street, Niles, MI, 49120",37,17
Shawnee Community, Berrien ,161,"1558 West Shawnee Road, Baroda, MI, 49101",37,17
Baroda Estates, Berrien ,151,"8836 Stevensville Baroda Road, Baroda, MI, 49101",37,17
Country Acres Manufactured Home Community, Berrien ,64,"2615 Old Us 31, Niles, MI, 49120",37,17
Franklin Woods, Berrien ,268,"1950 South 13th Street, Niles, MI, 49120",37,17
Glen Aire Mobile Home Park, Berrien ,130,"1153 West Glenlord Road, Saint Joseph, MI, 49085",38,20
Indian Lake Woods, Berrien ,14,"54750 Highland Dr, Eau Claire, MI, 49111",37,17
Lakeshore Estates, Berrien ,98,"3017 Johnson Road, Stevensville, MI, 49127",38,20
Lakeside Cabins Resort, Berrien ,225,"7650 Warren Woods Rd, Three Oaks, MI, 49128",38,17
Niles Pines Mobile Estates, Berrien ,80,"900 Mobile Boulevard, Niles, MI, 49120",37,17
Ontario Place, Berrien ,130,"2006 Ontario Road, Niles, MI, 49120",37,17
Ravine View Estates, Berrien ,158,"5100 Little Paw Paw Lake Road 6A, Coloma, MI, 49038",39,20
Ravines Mobile Home Park, Berrien ,225,"2088 East Empire Avenue, Benton Harbor, MI, 49022",38,20
River Springs Estates, Berrien ,198,"9387 Us Highway 31, Berrien Springs, MI, 49103",37,17
Tallgrass an FR Community, Branch ,239,"260 East Garfield Avenue, Coldwater, MI, 49036",35,17
North Trail Village, Branch ,42,"100 North Main Street, Quincy, MI, 49082",35,17
Grand Village Mobile Home Park, Branch ,25,"598 Union City Road, Coldwater, MI, 49036",35,17
Love's Lazy Lagoon, Branch ,61,"622 N Union City Rd, Coldwater, MI, 49036",35,17
