DBA,Owner / Community_Name,Location_Address,County,Total_#_Sites,House district,Senate district
,VILLA MI LLC,"3096 CAMELOT DR, FLINT MI 48507",GENESEE,319,70,27
HI-WAY MOBILE HAVEN,"GERALD D HARRIS, INC","2600 LANSING ROAD, CHARLOTTE, MI 48813",EATON,67,76,21
DOUGLAS MOBILE ESTATES,DOUGLAS-JOHNSON MOBILE ASSOCIATES LTD,",",ALLEGAN,97,,
,LILLY BANKS LANE,"13400 CORNELL RD, CONCORD MI 49237",JACKSON,19,45,17
,TWIN PINES MOBILE HOME PARK,"1766 RAU RD, WEST BRANCH, MI 48661",OGEMAW,33,99,36
,ASPEN-BRENTWOOD PROJECT LLC,"198 FESCUE S.E., KENTWOOD, MI 49548",KENT,195,80,29
CLIFF VIEW TRAILER PARK,JAMES P MONTELLA,"3200 NORTH M-63, BENTON HARBOR, MI 49022",BERRIEN,10,38,20
,WALNUT TRAILER PARK,"4118 SOUTH SEEGER STREET, CASS CITY MI 48726",TUSCOLA,14,98,25
WELLERS TRAILER PARK,JO A CARNEY,"8928 66TH STREET, ALTO, MI 49302",KENT,21,79,18
HURON SHORES MANUFACTURED HOME COMMUNITY,CREEKSIDE HURON SHORES LLC,"144 SHORELINE EAST, PORT SANILAC, MI 48469",SANILAC,192,98,25
,NORTHERN MICHIGAN PARTNERS LLC,"220 HIAWATHA DR, IRON RIVER MI 49935",IRON,21,110,38
,WHISPERING PINES MOBILE HOME PARK,"8741 0.8 LANE, GLADSTONE, MI 49837",DELTA,6,108,38
,PHOENIX MOBILE HOME COURT LLC,"15011 WEST MICHIGAN, MARSHALL, MI 49068",CALHOUN,33,45,18
,SANDS TRAILER COURT LLC,"110 S STATE HWY M553, GWINN MI 49841",MARQUETTE,14,109,38
SHANGRI LA VILLAGE MOBILE HOME COMMUNITY,SHANGRI-LA PARTNERS LLC,"6900 SOUTH RIVER ROAD, MARINE CITY, MI 48039",ST CLAIR,271,63,25
HIGHLAND HILLS ESTATES,HIGHLAND HILLS ESTATES ASSOCIATES,"25600 SEELEY, NOVI, MI 48050",OAKLAND,198,21,13
NOTTINGHAM FOREST MHC,PURITAN HOLDINGS LLC,"1665 M32 WEST, GAYLORD, MI 49735",OTSEGO,74,105,36
CLOVER ESTATES MOBILE HOME PARK,CLOVER ESTATES LC,"3239 CLOVER PARKWAY, MUSKEGON, MI 49444",MUSKEGON,223,89,32
,PARIS ESTATES LLC,"310 48TH STREET, S.E., GRAND RAPIDS, MI 49548",KENT,155,80,29
BIG TREES MOBILE HOME PARK,ASTER INVESTMENTS INC,"28433 JOY RD, WESTLAND MI 48185",WAYNE,67,25,5
VILLAGE ESTATES MHP,"CARTER HAWKINS, LLC","2580 HOLMES, YPSILANTI, MI 48197",WASHTENAW,75,32,15
FENNERS MOBILE VILLAGE,JAMES A RADATZ,"4172 LAPEER ROAD, PORT HURON, MI 48060",ST CLAIR,35,64,25
,VANS MOBILE HOME PARK,"9720 EAST LANSING RD, DURAND MI 48429",SHIAWASSEE,14,71,28
,QUIET COVE,"12675 COLBY LAKE ROAD, LAINGSBURG, MI 48848",SHIAWASSEE,44,75,28
,COUNTRYSIDE VILLAGE MI LLC,"4600 W. BRITTON ROAD, PERRY, MI 48872",SHIAWASSEE,360,71,28
,BIG RAPIDS MOBILE HOME COURT,"606 BJORNSON STREET, BIG RAPIDS, MI 49307",MECOSTA,137,100,34
,"HAVEN VIEW MOBILE HOME COURT, INC","18505 NORTHLAND DRIVE, BIG RAPIDS, MI 49307",MECOSTA,80,100,34
,RAVINE VIEW ESTATES MHC LLC,"5100 LITTLE PAW PAW LAKE ROAD, COLOMA, MI 49038",BERRIEN,160,39,20
,SELKIRK LAKE MOBILE HOME PARK,"780 127TH AVENUE, SHELBYVILLE, MI 49344",ALLEGAN,25,43,18
CANDLE WICK COURT,UMH SALES AND FINANCE INC,"1800 CANDLEWICK DRIVE, OWOSSO, MI 48867",SHIAWASSEE,211,71,28
TELA VALLEY MHC,GRANITE TELA VALLEY LLC,"17707 TELEGRAPH ROAD, ROMULUS, MI 48174",WAYNE,487,28,4
VACATION VILLAGE MOBILE HOME PARK,VACATION VILLAGE INC,"509 LAKE, ELK RAPIDS, MI 49629",ANTRIM,64,104,37
,SUNSET ESTATES OF GAYLORD LLC,"7345 MILL STREET, VANDERBILT, MI 49795",OTSEGO,20,105,36
,LAKEWOOD MOBILE HOME PARK LLC,"SANDS STREET AT RUSH STREET, PENTWATER, MI 49449",OCEANA,40,102,32
,"HYLANDER VALLEY, INC","271 N. EASTWOOD, HART, MI 49420",OCEANA,63,102,32
,"WATER WHEEL MOBILE HOME ESTATES, INC","316 WEST MICHIGAN AVENUE, CLINTON, MI 49236",LENAWEE,172,33,15
,"COACH LIGHT ESTATES, INC","650 W ADRIAN ST LOT 176, BLISSFIELD, MI 49228",LENAWEE,235,34,16
MALL MOBILE PARK,"CASTLE INSULATION, INC","20 NORTH TILDEN, PONTIAC, MI 48328",OAKLAND,41,53,23
,"SILVER SHORES MHC, LLC","1266 CARL ROAD, TRAVERSE CITY, MI 49684",GRAND TRAVERSE,200,104,37
,WARWICK VILLAGE MHP,"24600 JOY ROAD BLDG. #153, REDFORD, MI 48239",WAYNE,151,16,6
STRATFORD VILLA MOBILE HOME PARK,STRATFORD VILLA ASSOCIATES LTD,"3333 STRATFORD WAY, WIXOM, MI 48076",OAKLAND,409,49,23
WILLOW TREE VILLAGE,AMERICAN WILLOW TREE LIMITED PARTNERSHIP,"3840 N RIATA DRIVE, BAY CITY, MI 48706",BAY,78,96,35
COUNTRY ACRES MANUFACTURED HOME COMMUNITY,ASPEN COUNTRY PROJECT LLC,"300 KRISTY JO, CADILLAC, MI 49601",WEXFORD,182,101,36
,COUNTRY ESTATES OWNER LLC,"4461 CLYDE PARK SW, GRAND RAPIDS, MI 49509",KENT,160,83,29
MAPLE GROVE MOBILE HOME COMMUNITY,COSMONET LLC,"G-4493 FENTON ROAD, BURTON, MI 48529",GENESEE,101,70,27
,"NORTHERN ESTATES SOUTH, LLC","1340 POST ROAD, BELMONT, MI 49306",KENT,259,90,30
,LAPEER MEADOWS MHC LLC,"1265 FARNSWORTH RD, LAPEER MI 48446",LAPEER,230,67,26
WENONA BEACH ESTATES,WENONA LTD,"4444 NATIONAL AVENUE, BAY CITY, MI 48706",BAY,182,96,35
,"HOLIDAY VILLAGE OF SCOTTVILLE, INC","1701 W. U.S. 10, SCOTTVILLE, MI 49454",MASON,74,102,32
BARODA ESTATES,BARODA ESTATES LLC,"8836 STEVENSVILLE BARODA RD #7, BARODA, MI 49101",BERRIEN,152,37,17
YOUNGS TRAILER PARK,TIM HANDY,"521 E CHURCH ST, REED CITY MI 49677",OSCEOLA,17,100,34
EVART TRAILER COURT,FRANCISCO J CATALDO,"201 FAIR, EVART, MI 49631",OSCEOLA,20,100,34
,HOLIDAY MANOR PARK LLC,"5656 TRAILER PARK DR, JACKSON MI 49202",JACKSON,63,46,14
,PLYMOUTH HILLS MANUFACTURED HOME COMMUNITY LLC,"14201 RIDGE RD, PLYMOUTH MI 48170",WAYNE,635,23,13
TALLGRASS ESTATES,FR COLDWATER LLC,"260 EAST GARFIELD AVENUE, COLDWATER, MI 49036",BRANCH,239,35,17
HAMLIN MHC,"SUN POOL 12, LLC","5325 VAN ORDEN ROAD, WEBBERVILLE, MI 48892",INGHAM,230,73,22
,DAVISON EAST MI LLC,"11100 DAVISON RD, DAVISON MI 48423",GENESEE,190,68,26
BROADVIEW ESTATES,SUN CONTINENTAL NORTH LLC,"4250 NORTH STATE, DAVISON, MI 48423",GENESEE,474,67,26
CADILLAC LEISURE MOBILE HOME PARK,CADILLAC LEISURE PARTNERS LLC,"114 B STREET, CADILLAC, MI 49601",WEXFORD,98,101,36
NORTHERN COUNTRY ESTATES,NORTHERN COUNTRY ESTATES LLC,"1030 M-76, ALGER, MI 48610",ARENAC,40,99,36
TAMARAC VILLAGE,TAMARAC VILLAGE MOBILE HOME PARK LLC,"2875 NORTH LAKESHORE DRIVE, LUDINGTON, MI 49431",MASON,349,102,32
,HESS LAKE RV & MOBILE HOME PARK LLC,"825 EAST 88TH STREET, NEWAYGO, MI 49337",NEWAYGO,65,101,33
,"BRIGHTON VILLAGE ASSOCIATES, LLC","7500 GRAND RIVER, BRIGHTON, MI 48116",LIVINGSTON,196,48,22
,WOLF LAKE MOBILE HOME PARK INC,"3286 WOLF LAKE DRIVE, BALDWIN, MI 49304",LAKE,31,101,33
PARKWOOD GREEN VILLAGE,KCA VENTURES LLC,"630 SCHULTZ ROAD, SPARTA, MI 49345",KENT,108,90,33
ROCHESTER ESTATES,ROCHESTER ASSOCIATES,"700 W LEGRAND, ROCHESTER, MI 48063",OAKLAND,775,55,25
BELLE MOBILE VILLAGE,BELLE MOBILE VILLAGE LLC,"18100 ELWELL RD LOT 118, BELLEVILLE MI 48111",WAYNE,118,31,4
,COZY MOBILE HOME PARK ASSOCIATES LIMITED PARTNER,"1259 MC DEVITT, JACKSON, MI 49203",JACKSON,206,47,14
CEDAR SPRINGS MOBILE ESTATES,"CEDAR SPRINGS ASSOCIATES, LLC","400 SUSAN STREET, CEDAR SPRINGS, MI 49319",KENT,216,91,33
NORTHWOODS COMMUNITY,CONSTINE COMMUNITIES INC,"2100 NORTH HINTZ ROAD, OWOSSO, MI 48867",SHIAWASSEE,97,71,28
,WESTRIDGE MOBILE HOME PARK,"1515 RIDGE RD, YPSILANTI MI 48197",WASHTENAW,373,32,15
WESTPOINT MANOR,SUN SECURED FINANCING LLC,"41021 OLD MICHIGAN AVENUE, CANTON, MI 48188",WAYNE,270,25,5
,"VILLAGE WEST MOBILE HOME PARK, INC","8800 MARKET ST., PITTSFORD, MI 49271",HILLSDALE,14,35,16
BRENTWOOD ESTATES,BRENTWOOD ESTATES MHP LLC,"3376 OLD KAWKAWLIN ROAD, BAY CITY MI 48706",BAY,150,96,35
SUNSET MOBILE HOME PARK,SUNSET MOBILE HOME PARK LLC,"854 WEST SANILAC ROAD, SANDUSKY, MI 48471",SANILAC,105,98,25
,SHADY ACRES COMMUNITY LLC,"4396 132ND AVE, HAMILTON, MI 49419",ALLEGAN,59,43,20
,"HUBBARD LAKE ESTATES, INC","7298 HURBERT RD., HUBBARD LAKE, MI 49747",ALPENA,10,106,36
OSSINEKE VILLAGE COURT,"HUBBARD LAKE ESTATES, INC","BLOCK 1, OSSINEKE, MI 49766",ALPENA,12,106,36
,"CLUB MICHIHIGGI, INC","1236 COUNTY ROAD 200, HIGGINS LAKE, MI 48653",ROSCOMMON,20,105,36
HIGGINS LAKE HIDE-A-WAY MOBILE HOME PARK,EDWARDINE ELLIXSON,"6059 WEST HIGGINS LAKE DRIVE, HIGGINS LAKE, MI 48627",ROSCOMMON,25,105,36
,WAGON WHEEL ESTATES,"2750 W HIGGINS LAKE DR, ROSCOMMON MI 48653",ROSCOMMON,10,105,36
LEISURE ESTATES/VILLAGE MOBILE HOME COMMUNITY,HOLLAND LEISURE ASSOCIATES LTD,"523 BUTTERNUT DRIVE, HOLLAND, MI 49423",OTTAWA,438,86,31
,SANDPIPER ESTATES CO-OP INC,"6103 LAKESHORE #36, LEXINGTON, MI 48450",SANILAC,90,64,25
,"HAMBURG HILLS ESTATES, INC","7005 SHELDON RD, WHITMORE LAKE MI 48189",LIVINGSTON,152,48,22
,THE GREENBRIAR GROUP LLC,"1305 NORTH SPRING ST LOT 69, GLADWIN, MI 48624",GLADWIN,113,99,34
,DAVISON HILLS MHC LLC,"11067 E MT MORRIS RD, DAVISON MI 48423",GENESEE,104,67,26
LAKEVIEW ESTATES,FJPARKER LLC,"37111 MAIN STREET, NEW BALTIMORE, MI 48047",MACOMB,42,63,12
SLATERS MOBILE HOME PARK,W & J PROPERTIES INC,"732 JORDAN LAKE AVE, LAKE ODESSA, MI 48849",IONIA,20,78,18
PLEASANT VALLEY MOBILE HOME COMMUNITY,PLEASANT VALLEY S&W LLC,"16105 DOYLE ROAD, HEMLOCK, MI 48626",SAGINAW,159,93,26
,DENTON TOWNSHIP,"2832 S. GLADWIN ROAD, PRUDENVILLE, MI 48651",ROSCOMMON,59,105,36
LAFAYETTE PLACE,SUN LAFAYETTE PLACE LLC,"21155 WARNER, WARREN, MI 48091",MACOMB,254,14,3
LAKESHORE VILLAGE MOBILE HOME PARK,BENTLEY-RIVARD CO,"4061 LAKE SHORE DRIVE, GLADWIN, MI 48624",GLADWIN,47,99,34
LAKEFRONT ESTATES,LAKEVIEW VILLAGE MHC LLC,"385 W BROWN STREET, BEAVERTON, MI 48612",GLADWIN,68,95,34
,"SHADY SHORES ASSOCIATION, LTD","2965 PATTERSON ROAD R#3, WAYLAND, MI 49348",BARRY,117,43,18
,JUDYS MOBILE HOME COURT,"18891 U.S. 12 WEST, NEW BUFFALO, MI 49117",BERRIEN,27,38,17
MOBILE MANOR TRAILER PARK,"R & R PROPERTIES, INC","600 SUMPTER ROAD, BELLEVILLE, MI 48111",WAYNE,97,31,4
WOODHAVEN PLACE ESTATES MANUFACTURED HOME COMMUN,"SUN SECURED FINANCING, LLC","23501 VAN HORN RD, WOODHAVEN, MI 48183",WAYNE,220,28,4
RICHMOND PLACE ESTATES MANUFACTURED HOME COMMUNI,SUN RICHMOND LLC,"36401 DIVISION ROAD, RICHMOND, MI 48062",MACOMB,117,65,25
ST CLAIR PLACE ESTATES MANUFACTURED HOME COMMUN,"SUN POOL 3, LLC","2700 COX, ST. CLAIR, MI 48079",ST CLAIR,100,64,25
TOWN & COUNTRY MOBILE HOME PARK,"TOWN AND COUNTRY, LLC","2653 VANYEA ROAD, CHEBOYGAN, MI 49721",CHEBOYGAN,39,106,37
,"EVERGREEN PARK OF KALAMAZOO, INC","182 EAST D AVENUE, KALAMAZOO, MI 49004",KALAMAZOO,76,42,19
,ROYAL VILLAGE TRAILER COURT,"28261 VAN BORN RD, ROMULUS MI 48174",WAYNE,208,26,4
HARRISON ESTATES,GEORGE BERGEVIN,"2600 MOSTETLER ROAD, HARRISON, MI 48625",CLARE,50,100,34
,RUBYS TRAILER PARK,"10600 S CLARE AVE, CLARE MI 48617",CLARE,14,100,34
,LAMANS LANDING RESORT INC,"6100 BEAUNE RD., LUDINGTON, MI 49431",MASON,32,102,32
SPRING LAKE,"SPRING LAKE, LIMITED","604 W JOHN BEERS ROAD, STEVENSVILLE, MI 49127",BERRIEN,389,38,20
,MEADOW LANE ESTATES LIMITED PARTNERSHIP,"401 SOUTH ST. JOHNS STREET, ITHACA, MI 48847",GRATIOT,128,92,34
,"HARBOR SPRINGS ESTATES, LLC","629 EAST LAKE ROAD, HARBOR SPRINGS, MI 49740",EMMET,68,107,37
SOUTHWOOD VILLAGE,SOUTHWOOD VILLAGE MOBILE HOME PARK LLC,"440 60TH ST SE, GRAND RAPIDS MI 49548",KENT,394,79,20
PINEBROOK VILLAGE,PINEBROOK VILLAGE MOBILE HOME PARK LLC,"444 BELLEWOOD, SE, GRAND RAPIDS, MI 49508",KENT,185,80,29
FAIRLAWN MEADOWS,THOMAS W LASHBROOK,"1701 FAIRLAWN, HOWELL, MI 48843",LIVINGSTON,48,50,22
INDIAN VILLAGE MOBILE HOME PARK I,IVP LLP,"2600 E SOUTH ST, JACKSON MI 49201",JACKSON,300,46,14
BAY SHORE ESTATES MOBILE HOME PARK,DARLING FAMILY TRUST-EMMET,"7463 OLD US 31 HIGHWAY, PETOSKEY, MI 49770",EMMET,83,107,37
LAKEVIEW VILLAGE MOBILE HOME PARK,NORTHERN PROPERTIES MOBILE HOME PARK LLC,"526 NORTH LAKE STREET, BOYNE CITY, MI 49712",CHARLEVOIX,171,107,37
,"ROUND LAKE RESORT, INC","11043 11 MILE RD, MECOSTA, MI 49332",MECOSTA,8,100,34
,MAPLE ISLAND ESTATES,"7321 WHITE RD LOT 74, MUSKEGON, MI 49442",MUSKEGON,128,89,32
,PLEASANT BEACH MOBILE HOME RESORT LLC,"4991 WIXOM ROAD, BEAVERTON, MI 48612",GLADWIN,68,95,34
,WHITE BIRCH ESTATES,"411 DAILEY DRIVE, REED CITY, MI 49677",OSCEOLA,49,100,34
WOODS & FIELDS COMMUNITIES WEST,CONSTINE COMMUNITIES INC,"2627 WEST M-21, OWOSSO, MI 48867",SHIAWASSEE,72,71,28
HURON ESTATES MOBILE HOME COMMUNITY,HURON ESTATES LIMITED PARTNERSHIP,"22000 INKSTER ROAD, ROMULUS, MI 48174",WAYNE,807,29,4
KEY MOBILE HOME COURT,KEY MOBILE HOME COURT LLC,"221 LAKEVIEW DR, GLADWIN, MI 48624",GLADWIN,32,99,34
,VAN ETTAN VILLAGE MOBILE HOME PARK,"4385 VAN ETTAN DAM RD, OSCODA MI 48750",IOSCO,32,99,36
,SALINE MEADOWS LLC,"6564 EAST MICHIGAN AVENUE, SALINE, MI 48175",WASHTENAW,148,33,15
,LAKE MICHIGAN HEIGHTS LLC,"7400 MICHIGAN HEIGHTS DR, CHARLEVOIX, MI 49720",CHARLEVOIX,108,107,37
EAST VILLAGE ESTATES,SR EAST LLC,"57400 BEDFORD BLVD, WASHINGTON MI 48034",MACOMB,708,66,24
,"EAST JORDAN MOBILE HOME PARK, INC","705 STATE ST, EAST JORDAN, MI 49727",CHARLEVOIX,70,107,37
SHADY REST MHP,CAROL INVESTMENT CORP,"3618 EAST SHOD, BAY CITY, MI 48706",BAY,129,96,35
HILLVIEW MOBILE ESTATES,HILLVIEW ESTATES LLC,"6545 E CENTER ST, COLOMA MI 49038",BERRIEN,88,39,20
,TALLMADGE MEADOWS MHC LLC,"011630 14TH AVE, GRAND RAPIDS MI 49544",OTTAWA,107,89,30
,THREE OAKS MOBILE ESTATES,"13380 M-60, CONCORD, MI 49237",JACKSON,82,45,17
MARBLE LAKE RESORT & MARINA,LMCO INC,"960 WILDWOOD ROAD, QUINCY, MI 49082",BRANCH,29,35,17
,ROBERT C BOSSMAN,"GARNER DRIVE, IMLAY CITY, MI 48444",LAPEER,12,65,26
NOVI MEADOWS MOBILE HOME PARK,NOVI MH ASSOCIATES LTD,"26250 VIRGINIA AVENUE, NOVI, MI 48374",OAKLAND,401,21,13
KING ARTHURS COURT,KING ARTHUR MOBILE ASSOC LTD PARTNERSHIP,"2201 EAST STATE ROAD, LANSING, MI 48906",CLINTON,425,77,28
PEBBLE CREEK MHP,CAROL INVESTMENT CORP,"1150 ROGER CT, REESE MI 48757",TUSCOLA,101,97,26
BROOKSHIRE MEADOWS,"BROOKSHIRE MEADOWS EAST, INC","7635 QUAIL RUN, GRAND RAPIDS, MI 49508",KENT,303,79,20
DUTTON MILL VILLAGE,DUTTON MILL VILLAGE LLC,"6720 WEST MILL RUN, CALEDONIA, MI 49316",KENT,307,79,20
WHISPERING PINES MOBILE HOME PARK,"WHISPERING PINES PROPERTY MANAGEMENT, LLC","9397 ALPINE AVENUE, SPARTA, MI 49345",KENT,50,90,33
RUDGATE CLINTON MOBILE HOME PARK,RUDGATE CLINTON COMPANY LTD,"20475 FOSTER DR, CLINTON TOWNSHIP MI 48036",MACOMB,667,61,11
BROOKSIDE MOBILE HOME PARK,RONALD G RAY,"7875 GARLOCK RD, CARSON CITY, MI 48811",MONTCALM,14,93,33
RIVER HAVEN,"RIVER HAVEN OPERATING COMPANY, LLC","14546 MERCURY DRIVE, GRAND HAVEN, MI 49417",OTTAWA,721,88,31
,WESTLAND MEADOWS MI LLC,"30600 VAN BORN RD, WESTLAND MI 48186",WAYNE,772,26,5
,TUDOR ESTATES MI LLC,"1330 E MAPLE, FLINT, MI 48507",GENESEE,302,72,27
SANDHILL ESTATES,SANDHILL INC,"4063 BOWERS RD, ATTICA, MI 48412",LAPEER,50,65,26
SCIO FARMS,SUN SCIO FARMS LLC,"6655 JACKSON RD, ANN ARBOR MI 48103",WASHTENAW,913,47,14
,SUNRISE COMMUNITY LLC,"5690 HARRIS ROAD, JEDDO, MI 48032",ST CLAIR,48,64,25
NORTHFIELD ESTATES,"NORTHFIELD ESTATES MHC, LLC","855 W EIGHT MILE RD, WHITMORE LAKE, MI 48189",WASHTENAW,648,48,14
EVERGREEN VILLAGE MHP,HESPERIA MHP LLC,"146 N SMITH, HESPERIA, MI 49421",NEWAYGO,99,101,33
SHEFFIELD ESTATES MHP,"SHEFFIELD MHP, LLC","165 OPDYKE, AUBURN HILLS, MI 48057",OAKLAND,228,54,7
,TORREY HILLS MI LLC,"5406 TORREY RD, FLINT, MI 48057",GENESEE,377,71,27
PARK PLACE COMMUNITY,"LARKHITE DEVELOPMENT SYSTEMS, INC","200 EUREKA ST, CLIO, MI 48420",GENESEE,160,69,26
FISHERMANS COVE MANUFACTURED HOUSING COMMUNITY,SUN FISHERMANS COVE LLC,"4441 JENA LANE, FLINT, MI 48507",GENESEE,162,70,27
,SHIAWASSEE SHORES RETIREMENT PARK INC,"1515 ROLSTON RD, LINDEN, MI 48451",GENESEE,280,72,22
SCOTSDALE ESTATES,SCOTSDALE ASSOCIATES LLC,"3382 ALMA DRIVE, ALMA, MI 48801",GRATIOT,189,92,34
CEDAR RIDGE MANUFACTURED HOUSING COMMUNITY,CDB PROPERTIES,"5000 13TH STREET, MENOMINEE, MI 49858",MENOMINEE,76,108,38
HOLIDAY WEST VILLAGE,HOLIDAY WEST VILLAGE MOBILE HOME PARK LLC,"3611 BUTTERNUT DRIVE, HOLLAND, MI 49423",OTTAWA,341,86,31
ARBOR MEADOWS MOBILE HOME COMMUNITY,ARBOR MEADOWS ASSOCIATES LTD,"5229 W MICHIGAN, YPSILANTI, MI 48197",WASHTENAW,409,32,15
COUNTRY MEADOWS MANUFACTURED HOME COMMUNITY,SUN SECURED FINANCING LLC,"3211 WILL CARLETON, FLAT ROCK, MI 48134",WAYNE,577,29,4
,"CADGEWITH FARMS, LTD","2300 EAST STATE ROAD, LANSING, MI 48906",CLINTON,228,77,28
,DEERFIELD ESTATES,"26211 TELEGRAPH ROAD, FLAT ROCK, MI 48134",WAYNE,821,28,4
ACADEMY POINT,SUN SECURED FINANCING LLC,"41021 OLD MICHIGAN AVE., CANTON, MI 48188",WAYNE,171,25,5
WELLINGTON ESTATES MHC,GRANITE WELLINGTON ESTATES LLC,"16031 BEECH DALY RD, TAYLOR MI 48180",WAYNE,404,28,4
OAK ISLAND VILLAGE MOBILE HOME PARK,OAK ISLAND VILLAGE MOBILE HOME PARK LLC,"16430 PARK LK RD, EAST LANSING MI 48823",CLINTON,250,75,28
COMMERCE MEADOWS MANUFACTURED HOME COMMUNITY,COMMERCE MEADOWS LTD,"2400 MEADOWS CIRCLE, WIXOM, MI 48096",OAKLAND,602,51,23
ROLLING HILLS MOBILE HOME COMMUNITY,ROLLING HILLS MANAGEMENT CORPORATION,"300 MORGAN RD, BATTLE CREEK MI 49017",CALHOUN,363,44,18
MAPLE VALLEY OF ZEELAND,MAPLE PARKS LLC,"1901 88TH AVENUE, ZEELAND, MI 49464",OTTAWA,161,85,31
WINDSOR WOODS VILLAGE,WINDSOR WOODS VILLAGE MOBILE HOME PARK LLC,"1135 SUPERIOR STREET, WAYLAND, MI 49348",ALLEGAN,314,43,18
OAK BROOK ESTATES,DON MASTENBROOK,"7200 LOVERS LANE, PORTAGE, MI 49081",KALAMAZOO,129,40,19
,AMERICAN PRESIDENTIAL ESTATES,"6300 WEST ADAMS, BELLEVILLE, MI 48111",WAYNE,173,31,4
,GRANDSHIRE ESTATES,"851 WILLOW ST, FOWLERVILLE, MI 48836",LIVINGSTON,151,50,22
,WYNGATE FARMS MOBILE HOME PARK,"5560 AL SABO DRIVE, KALAMAZOO, MI 49009",KALAMAZOO,333,40,19
BIRCHWOOD ESTATES,"PORT BUILDERS, INC","4335 24TH AVE, FORT GRATIOT, MI 48059",ST CLAIR,195,64,25
,ORCHARD HILLS VILLAGE MOBILE HOME PARK,"2400 56TH STREET, FENNVILLE, MI 49408",ALLEGAN,167,43,20
,"EGELCRAFT, LLC","2035 EAST IRONWOOD COURT, MUSKEGON, MI 49442",MUSKEGON,462,89,32
PHEASANT RIDGE,"PHEASANT RIDGE ESTATES, INC","364 MEADOW LANE, CADILLAC, MI 49601",WEXFORD,196,101,36
KENSINGTON MEADOWS,"SUN SECURED FINANCING, LLC","4245 WEST JOLLY ROAD, LANSING, MI 48911",EATON,290,76,21
NORTHERN ESTATES - NORTH,NORTHERN ESTATES NORTH LLC,"1569 BEAVER CREEK DRIVE, BELMONT, MI 49306",KENT,292,90,30
,CHERRYWOOD VILLAGE FARMS,"2451 M-113 EAST, KINGSLEY MI 49649",GRAND TRAVERSE,193,104,37
BROOKSIDE VILLAGE,BROOKSIDE VILLAGE MOBILE HOME PARK LLC,"3130 SLATER AVENUE, GRAND RAPIDS, MI 49512",KENT,196,80,29
WARREN DUNES VILLAGE,WARREN DUNES VILLAGE MHP LLC,"11159 RED ARROW HWY., BRIDGMAN, MI 49106",BERRIEN,316,38,17
MEADOW LAKE ESTATES MANUFACTURED HOUSING COMMUNI,SUN SECURED FINANCING LLC,"3951 BENTWOOD CIRCLE WEST, WHITE LAKE MI 48383",OAKLAND,425,51,23
FOUNTAIN SPRINGS,YES COMPANIES KEY LLC,"1410 SOUTH 9TH ST, KALAMAZOO, MI 49009",KALAMAZOO,328,40,19
CIDER MILL VILLAGE,CIDER MILL VILLAGE MOBILE HOME PARK LLC,"425 CIDER MILL DRIVE, MIDDLEVILLE, MI 49333",BARRY,258,79,18
,MAPLEVIEW ESTATES COMMUNITY INC,"7197 SILVER MAPLE LN, BROWN CITY, MI 48416",SANILAC,124,98,25
,MEADOWS MOBILE HOME PARK AND SALES LLC,"1563 LANSING RD., CHARLOTTE, MI 48813",EATON,128,76,21
OAK BLUFF ESTATES MOBILE HOME PARK,"OAK BLUFF, INC","2722 S. HILL RD., GLADSTONE, MI 49837",DELTA,177,108,38
NORTH WAYNE ESTATES,WILLIAM H GIBSON,"27130 CORWIN ST., DOWAGIAC, MI 49047",CASS,10,37,17
,"ASPEN VILLAGE, LLC","32 EAST END DRIVE, GAYLORD, MI 49735",OTSEGO,225,105,36
WOODS & FIELDS COMMUNITIES EAST,CONSTINE COMMUNITIES INC,"2450 KROUSE ROAD, OWOSSO, MI 48867",SHIAWASSEE,323,71,28
,NESENS COUNTRYSIDE INC,"600 CHEESMAN RD., ST. LOUIS, MI 48880",GRATIOT,77,92,34
"BROOKSHIRE MEADOWS WEST, INC",DAVID W MAIER,"1501 PORT SHELDON RD., JENISON, MI 49428",OTTAWA,93,85,31
WAVERLY SHORES VILLAGE,WAVERLY SHORES VILLAGE MOBILE HOME PARK LLC,"11777 RILEY, HOLLAND, MI 49423",OTTAWA,417,86,31
,TIMBER HEIGHTS MICHIGAN LLC,"1168 NORTH OAK ROAD, DAVISON, MI 48423",GENESEE,221,68,26
WEST VILLAGE ESTATES,SR WEST LLC,"7040 SHAWNEE, ROMULUS, MI 48174",WAYNE,629,26,4
,"WILLIAMSTON LAKES, LLC","2300 E. GRAND RIVER, WILLIAMSTON, MI 48895",INGHAM,75,73,28
,"NORTHPOINTE SHORES, LLC","10431 DIXIE HWY., FAIR HAVEN, MI 48023",ST CLAIR,12,63,12
WEST PINE ISLAND,DERBY BROTHERS COMPANY,"3534 PINEWOOD TRAIL, HOLTON, MI 49425",MUSKEGON,30,102,32
MILL RACE SHORES MHC,MILL RACE PARTNERS LLC,"563 ALLEN RD., MILAN, MI 48160",MONROE,97,31,15
HURON BAY RESORT,LAKE HURON PROPERTIES LLC,"2545 LAKE SHORE RD LOT 52, APPLEGATE MI 48401",SANILAC,66,98,25
,DEERFIELD MI LLC,"82 DEERFIELD PL, NORTH BRANCH MI 48461",LAPEER,123,98,26
LOGAN ESTATES,"HERTEL LAND COMPANY, LC","8697 RILEY STREET, ZEELAND, MI 49464",OTTAWA,378,85,31
